City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,6.25,93,75,4.12,CL,1714062499
1,port-aux-francais,-49.35,70.2167,4.81,72,17,5.52,TF,1714062495
2,adamstown,-25.066,-130.1015,23.18,90,7,8.82,PN,1714062486
3,flying fish cove,-10.4217,105.6791,26.82,89,75,4.63,CX,1714062413
4,blackmans bay,-43.0167,147.3167,10.96,75,95,0.45,AU,1714062484
5,longyearbyen,78.2186,15.6401,-1.09,69,20,6.69,SJ,1714062346
6,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,81,20,8.0,RU,1714062481
7,margaret river,-33.95,115.0667,13.52,57,45,4.12,AU,1714062511
8,grytviken,-54.2811,-36.5092,-0.91,65,31,2.96,GS,1714062507
9,ratnagiri,16.9833,73.3,27.8,74,50,3.97,IN,1714062569
10,sitka,57.0531,-135.33,6.94,76,20,0.0,US,1714062534
11,west island,-12.1568,96.8225,27.99,78,75,7.72,CC,1714062481
12,yuzhno-kurilsk,44.0306,145.8556,4.65,100,100,3.53,RU,1714062524
13,prince rupert,54.3161,-130.3201,7.83,81,0,3.09,CA,1714062570
14,namie,37.4833,141.0,14.29,89,1,3.38,JP,1714062570
15,tiksi,71.6872,128.8694,-13.84,92,99,5.54,RU,1714062480
16,aasiaat,68.7098,-52.8699,-0.69,85,100,2.27,GL,1714062429
17,salinopolis,-0.6136,-47.3561,27.56,84,100,4.01,BR,1714062571
18,lastoursville,-0.8143,12.7287,31.92,64,82,1.06,GA,1714062572
19,ushuaia,-54.8,-68.3,6.79,81,75,7.2,AR,1714062249
20,fray luis beltran,-39.3167,-65.7667,18.49,35,49,4.89,AR,1714062572
21,walvis bay,-22.9575,14.5053,18.53,72,0,3.6,NA,1714062573
22,port lincoln,-34.7333,135.8667,14.8,62,17,4.63,AU,1714062573
23,albany,42.6001,-73.9662,9.96,33,0,1.34,US,1714062526
24,bilibino,68.0546,166.4372,-19.33,98,66,1.73,RU,1714062503
25,makurazaki,31.2667,130.3167,15.5,79,100,1.77,JP,1714062574
26,burang,30.25,81.1667,0.42,48,11,2.92,CN,1714062575
27,grootfontein,-19.5667,18.1167,26.98,14,0,2.42,NA,1714062575
28,hawaiian paradise park,19.5933,-154.9731,22.15,93,100,2.06,US,1714062519
29,ta`u,-14.2336,-169.5144,28.73,70,80,6.73,AS,1714062576
30,edinburgh of the seven seas,-37.0676,-12.3116,18.31,87,77,13.56,SH,1714062487
31,wailua homesteads,22.0669,-159.378,22.44,84,100,7.72,US,1714062577
32,callao,-12.0667,-77.15,22.16,83,75,3.6,PE,1714061997
33,guerrero negro,27.9769,-114.0611,16.55,71,100,7.66,MX,1714062097
34,hamilton,39.1834,-84.5333,12.73,53,0,3.6,US,1714062307
35,monaragala,6.8714,81.3487,25.81,79,88,0.22,LK,1714062578
36,manismata,-2.4667,111.0333,24.44,96,100,0.75,ID,1714062578
37,poteau,35.0537,-94.6236,18.88,68,100,3.09,US,1714062456
38,jamestown,42.097,-79.2353,9.73,45,0,3.09,US,1714062493
39,atafu village,-8.5421,-172.5159,29.25,75,8,3.74,TK,1714062510
40,carutapera,-1.195,-46.02,27.82,88,73,1.52,BR,1714062522
41,aitape,-3.1374,142.3475,26.15,88,100,1.92,PG,1714062580
42,puerto ayora,-0.7393,-90.3518,28.98,92,60,2.68,EC,1714062511
43,waitangi,-43.9535,-176.5597,15.46,92,100,3.58,NZ,1714062497
44,bikenibeu village,1.3673,173.1241,27.98,89,20,4.12,KI,1714062523
45,mocimboa,-11.3167,40.35,25.45,84,21,4.11,MZ,1714062581
46,gadzhiyevo,69.2551,33.3362,0.56,99,100,0.23,RU,1714062582
47,niquero,20.0431,-77.5828,30.72,50,3,7.62,CU,1714062583
48,lebu,-37.6167,-73.65,15.13,71,99,4.35,CL,1714062505
49,naivasha,-0.7167,36.4359,17.28,96,100,1.16,KE,1714062584
50,punta arenas,-53.15,-70.9167,8.01,81,0,1.54,CL,1714062408
51,mogadishu,2.0371,45.3438,29.29,78,100,4.97,SO,1714062304
52,viqueque,-8.8673,126.3658,24.6,94,38,0.76,TL,1714062585
53,avarua,-21.2078,-159.775,25.03,78,75,2.06,CK,1714062548
54,sao desiderio,-12.3633,-44.9733,35.23,29,6,3.37,BR,1714062585
55,fuerte olimpo,-21.0415,-57.8738,35.7,35,12,3.51,PY,1714062586
56,kavaratti,10.5669,72.642,29.8,72,90,3.64,IN,1714062586
57,manicore,-5.8092,-61.3003,30.16,62,100,0.88,BR,1714062587
58,halifax,44.6453,-63.5724,6.23,34,0,7.72,CA,1714061832
59,cururupu,-1.8283,-44.8683,29.94,79,45,1.82,BR,1714062587
60,deqen,29.9618,90.7188,4.94,30,96,2.76,CN,1714062588
61,tolanaro,-25.0319,46.9987,23.8,87,32,4.98,MG,1714062554
62,haiku-pauwela,20.9219,-156.3051,22.25,89,40,5.66,US,1714062588
63,talnakh,69.4865,88.3972,-13.77,88,81,2.72,RU,1714062589
64,hasaki,35.7333,140.8333,15.22,88,100,5.11,JP,1714062589
65,lihue,21.9789,-159.3672,22.77,83,100,7.72,US,1714062482
66,college,64.8569,-147.8028,7.26,58,20,1.54,US,1714062590
67,bethel,41.3712,-73.414,12.16,34,0,2.57,US,1714062490
68,ust-nera,64.5667,143.2,-1.78,97,100,0.62,RU,1714062496
69,qaqortoq,60.7167,-46.0333,4.98,70,100,1.65,GL,1714062519
70,mount gambier,-37.8333,140.7667,12.38,62,100,2.19,AU,1714062545
71,ketchikan,55.3422,-131.6461,8.26,81,75,0.0,US,1714062591
72,saint-louis,16.3333,-15.0,42.8,11,3,4.47,SN,1714062592
73,ouallam,14.3188,2.0866,43.28,6,100,0.96,NE,1714062592
74,ust-tsilma,65.441,52.1498,-0.77,92,94,4.02,RU,1714062518
75,ilulissat,69.2167,-51.1,3.01,70,75,2.06,GL,1714062504
76,georgetown,5.4112,100.3354,28.86,88,40,2.57,MY,1714062369
77,ust'-ilimsk,58.0006,102.6619,0.24,92,100,3.58,RU,1714062341
78,constantia,44.1833,28.65,17.61,75,100,2.88,RO,1714062248
79,cataingan,12.003,123.992,27.4,79,26,5.74,PH,1714062594
80,mora,11.0461,14.1401,41.75,8,70,4.34,CM,1714062524
81,ribeira grande,38.5167,-28.7,19.22,63,40,2.57,PT,1714062514
82,papatowai,-46.5619,169.4708,6.1,83,60,6.3,NZ,1714062487
83,mata-utu,-13.2816,-176.1745,28.99,72,56,3.99,WF,1714062334
84,mao,39.8885,4.2658,16.31,59,20,4.12,ES,1714062596
85,vilyuchinsk,52.9306,158.4028,7.15,84,100,4.88,RU,1714062476
86,nuku'alofa,-21.1333,-175.2,26.19,94,20,3.09,TO,1714062596
87,mogocha,53.7333,119.7667,-2.64,76,50,1.82,RU,1714062309
88,kapa'a,22.0752,-159.319,23.18,82,100,7.72,US,1714062497
89,vilyuysk,63.7553,121.6247,-14.44,98,93,1.79,RU,1714062597
90,udachny,66.4167,112.4,-9.2,96,98,3.43,RU,1714062343
91,san angelo,31.4638,-100.437,23.12,77,100,7.2,US,1714062512
92,kayes,14.0,-11.0,44.26,8,43,3.65,ML,1714062598
