City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nizhniy odes,63.6445,54.856,30.83,89,18,9.86,RU,1713665415
1,saipan,15.1355,145.701,88.5,62,20,16.11,MP,1713665249
2,invercargill,-46.4,168.35,57.02,80,89,8.01,NZ,1713665053
3,kruisfontein,-34.0033,24.7314,63.88,98,96,6.87,ZA,1713665271
4,walvis bay,-22.9575,14.5053,62.71,77,73,7.83,NA,1713665417
5,bilibino,68.0546,166.4372,13.39,74,28,1.99,RU,1713665142
6,tommot,58.9564,126.2925,38.77,86,10,7.72,RU,1713665418
7,vorgashor,67.5833,63.95,10.8,96,100,9.37,RU,1713665138
8,praia da vitoria,38.7333,-27.0667,63.75,95,100,12.73,PT,1713665419
9,rome,34.257,-85.1647,64.44,78,0,6.91,US,1713665263
10,ko pha ngan,9.7578,100.0291,80.31,77,100,13.04,TH,1713665420
11,blackmans bay,-43.0167,147.3167,64.53,57,3,1.99,AU,1713664984
12,fort mcmurray,56.7268,-111.381,48.52,43,6,5.01,CA,1713665231
13,tarusa,54.7233,37.1767,47.1,57,100,10.94,RU,1713665422
14,hadibu,12.65,54.0333,81.88,73,52,3.0,YE,1713665263
15,port mathurin,-19.6833,63.4167,80.01,80,15,18.03,MU,1713665056
16,enewetak,11.3474,162.3373,82.09,79,97,17.74,MH,1713665128
17,volodymyr-volynskyi,50.8525,24.3236,39.43,82,100,6.51,UA,1713665423
18,bethel,41.3712,-73.414,50.36,60,0,9.22,US,1713665002
19,adamstown,-25.066,-130.1015,72.81,75,2,25.08,PN,1713665012
20,flers,48.7372,-0.5747,34.05,92,37,3.38,FR,1713665426
21,promyshlennaya,54.9159,85.6385,35.62,50,99,1.68,RU,1713665427
22,okmulgee,35.6234,-95.9605,57.31,38,100,12.66,US,1713665427
23,port-aux-francais,-49.35,70.2167,46.54,97,100,34.47,TF,1713665006
24,haiku-pauwela,20.9219,-156.3051,77.22,71,40,19.57,US,1713665263
25,stanley,54.868,-1.6985,41.79,85,75,3.44,GB,1713665149
26,baro,8.6,6.4167,85.14,61,1,3.56,NG,1713665429
27,susuman,62.7833,148.1667,20.98,77,74,3.0,RU,1713665010
28,sitka,57.0531,-135.33,57.09,41,40,5.75,US,1713665095
29,sisimiut,66.9395,-53.6735,24.46,70,100,11.21,GL,1713665246
30,wellington,-41.2866,174.7756,58.98,89,100,19.57,NZ,1713665239
31,vilyuysk,63.7553,121.6247,33.01,100,100,8.01,RU,1713665222
32,tiksi,71.6872,128.8694,27.16,86,40,0.72,RU,1713664991
33,jamestown,42.097,-79.2353,42.39,66,75,9.22,US,1713665021
34,geraldton,-28.7667,114.6,81.01,21,0,17.27,AU,1713665287
35,pekanbaru,0.5333,101.45,77.32,100,75,0.0,ID,1713665437
36,wailua homesteads,22.0669,-159.378,81.03,74,0,14.97,US,1713665083
37,nenjiang,49.1833,125.2167,53.65,46,100,15.68,CN,1713665439
38,aleksandrovsk,59.158,57.5624,39.79,76,35,3.33,RU,1713665439
39,nar'yan-mar,67.6713,53.087,14.11,93,100,21.0,RU,1713665127
40,carauari,-4.8828,-66.8958,74.57,99,94,0.94,BR,1713665440
41,nyagan,62.1406,65.3936,30.51,99,100,1.05,RU,1713665447
42,freetown,8.484,-13.2299,79.9,93,91,6.08,SL,1713665448
43,remire-montjoly,4.9167,-52.2667,80.64,89,75,5.75,GF,1713665221
44,waitangi,-43.9535,-176.5597,58.82,92,100,3.0,NZ,1713665089
45,utrik,11.2278,169.8474,81.18,80,100,17.4,MH,1713665163
46,fale old settlement,-9.3852,-171.2468,85.17,75,17,11.95,TK,1713665011
47,richards bay,-28.783,32.0377,69.1,80,48,5.77,ZA,1713665451
48,edinburgh of the seven seas,-37.0676,-12.3116,58.32,72,100,6.91,SH,1713665057
49,qaqortoq,60.7167,-46.0333,27.14,84,91,5.39,GL,1713665158
